Portfolio,Weights,Volatility,Sharpe Ratio,AAPL,MSFT,GOOGL,AMZN,TSLA
Portfolio 65,"[0.9176230324469781, 2.823528028627736e-06, 0.10150556829559465, 3.921891072743031e-05, 1.4200054989600756e-06]",0.14452735263456987,0.07115384486209131,0.9176230324469781,2.823528028627736e-06,0.10150556829559465,3.921891072743031e-05,1.4200054989600756e-06
Portfolio 66,"[0.6065114762927085, 2.0453106981783894e-05, 0.33507711072196705, 2.697387647309033e-07, 1.5988904253814462e-05]",0.14476563890950936,0.07136540895708547,0.6065114762927085,2.0453106981783894e-05,0.33507711072196705,2.697387647309033e-07,1.5988904253814462e-05
Portfolio 67,"[0.45619045422288185, 4.546675532601823e-05, 0.2844793401327867, 3.589141570171717e-06, 3.4203776822809045e-06]",0.14478032651736808,0.07137764774889017,0.45619045422288185,4.546675532601823e-05,0.2844793401327867,3.589141570171717e-06,3.4203776822809045e-06
Portfolio 68,"[0.9964390507204235, 3.3383551050609747e-06, 0.3838443330608081, 6.389883333728411e-07, 4.942495269019611e-09]",0.14471330582134462,0.07132033766079014,0.9964390507204235,3.3383551050609747e-06,0.3838443330608081,6.389883333728411e-07,4.942495269019611e-09
Portfolio 69,"[0.9306288152052018, 1.8004742821929732e-07, 0.03753896013627303, 3.3421240161625596e-07, 6.318762267420398e-06]",0.14444296815764557,0.0710769816893706,0.9306288152052018,1.8004742821929732e-07,0.03753896013627303,3.3421240161625596e-07,6.318762267420398e-06
Portfolio 70,"[0.873839055896814, 1.4998454056689778e-06, 0.20433671707129442, 2.8932920934005243e-05, 7.358937791072573e-06]",0.14463251835394708,0.07124870940749894,0.873839055896814,1.4998454056689778e-06,0.20433671707129442,2.8932920934005243e-05,7.358937791072573e-06
Portfolio 71,"[0.6253769710450701, 3.886465459457323e-06, 0.17834333131683577, 1.401047846975361e-05, 1.006505038972733e-06]",0.14466467317000936,0.07127740097318762,0.6253769710450701,3.886465459457323e-06,0.17834333131683577,1.401047846975361e-05,1.006505038972733e-06
Portfolio 72,"[0.8998021016834351, 5.686119869436303e-07, 0.04150264702627271, 0.0001274541245406382, 2.1811585486889295e-08]",0.14445095129696903,0.0710841542082333,0.8998021016834351,5.686119869436303e-07,0.04150264702627271,0.0001274541245406382,2.1811585486889295e-08
Portfolio 73,"[0.6121970557710288, 0.00011077279009369387, 0.1240142015778633, 6.124312514084549e-05, 2.3747811254644477e-05]",0.14461025059111135,0.0712285376029192,0.6121970557710288,0.00011077279009369387,0.1240142015778633,6.124312514084549e-05,2.3747811254644477e-05
Portfolio 74,"[0.9373838445138197, 0.00011848244273123052, 0.2478963924909015, 6.168785515024893e-05, 3.894701098513311e-06]",0.14465252149388763,0.07126646952000351,0.9373838445138197,0.00011848244273123052,0.2478963924909015,6.168785515024893e-05,3.894701098513311e-06
Portfolio 75,"[0.9960538221111543, 3.577632515836653e-06, 0.3632389909704981, 2.6191275210249606e-06, 3.4823057632476148e-06]",0.14470461370492715,0.07131271481602104,0.9960538221111543,3.577632515836653e-06,0.3632389909704981,2.6191275210249606e-06,3.4823057632476148e-06
Portfolio 76,"[0.7021786531316386, 3.3428724525676656e-06, 0.3276215327263002, 7.927727811868277e-06, 1.5988904253814462e-05]",0.14474244127498503,0.07134562603337598,0.7021786531316386,3.3428724525676656e-06,0.3276215327263002,7.927727811868277e-06,1.5988904253814462e-05
Portfolio 77,"[0.8855747905442637, 3.929969543614439e-06, 0.07607313216714573, 0.00029708844334172015, 2.2371756135457368e-05]",0.1445005260096199,0.07112917737983541,0.8855747905442637,3.929969543614439e-06,0.07607313216714573,0.00029708844334172015,2.2371756135457368e-05
Portfolio 78,"[0.6458720650663282, 3.6963245653479515e-06, 0.21847048524161308, 1.5140159148830427e-05, 2.879358770622919e-07]",0.14469251995965549,0.07130205870506229,0.6458720650663282,3.6963245653479515e-06,0.21847048524161308,1.5140159148830427e-05,2.879358770622919e-07
Portfolio 79,"[0.7220604220870739, 8.183209732463289e-06, 0.12953081724825088, 4.869431337618823e-06, 1.074075606861932e-06]",0.14459156149429983,0.07121194834844022,0.7220604220870739,8.183209732463289e-06,0.12953081724825088,4.869431337618823e-06,1.074075606861932e-06
Portfolio 80,"[0.6178307291579654, 3.886593495007946e-06, 0.1418701407315095, 1.401047846975361e-05, 3.9057100020037407e-07]",0.14462960793394192,0.07124611479122521,0.6178307291579654,3.886593495007946e-06,0.1418701407315095,1.401047846975361e-05,3.9057100020037407e-07
Portfolio 81,"[0.5010131339964016, 3.3046778166809614e-06, 0.22331234512455828, 1.526592546106649e-05, 2.524835412123201e-06]",0.14473572225272924,0.0713398229459895,0.5010131339964016,3.3046778166809614e-06,0.22331234512455828,1.526592546106649e-05,2.524835412123201e-06
Portfolio 82,"[0.8646842768311769, 3.513477916981094e-06, 0.3632389909704981, 2.6191275210249606e-06, 3.4823057632476148e-06]",0.1447267666221621,0.0713320751572887,0.8646842768311769,3.513477916981094e-06,0.3632389909704981,2.6191275210249606e-06,3.4823057632476148e-06
Portfolio 83,"[0.8160649061146587, 2.418016950903046e-07, 0.005684655303704385, 4.894148322239052e-06, 5.966762215035452e-07]",0.14439456096216366,0.07103264261013624,0.8160649061146587,2.418016950903046e-07,0.005684655303704385,4.894148322239052e-06,5.966762215035452e-07
Portfolio 84,"[0.560069563962927, 8.092072371657642e-06, 0.36678108314860325, 0.00031127548354709756, 1.0740126380194512e-06]",0.14478592205721771,0.07138198626740347,0.560069563962927,8.092072371657642e-06,0.36678108314860325,0.00031127548354709756,1.0740126380194512e-06
Portfolio 85,"[0.6767437178025595, 1.6385196630386005e-05, 0.014898340959707733, 2.693420072367148e-05, 6.427780244429801e-07]",0.14441723234001133,0.07105337413004176,0.6767437178025595,1.6385196630386005e-05,0.014898340959707733,2.693420072367148e-05,6.427780244429801e-07
